location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409368,18.26,19.14,5.31,1.48,9.03,202.54,2
3409369,15.55,19.42,4.64,1.38,41.72,314.9,2
3409370,8.94,10.68,2.19,1.14,64.98,335.93,2
3409371,1.99,6.64,0.07,0.17,36.71,80.39,1
3409372,16.72,25.69,13.38,2.5,5.69,351.27,2
3409373,20.34,32.05,16.26,2,7.13,414.01,2
3409374,13.63,17.47,4.95,1.13,37.46,296.61,2
3409375,7.95,9.41,6.3,1.39,22.83,190.42,1
3409376,7.97,9.56,7.45,1.03,32.02,183.22,1
3409377,27.08,35.03,6.54,2.65,24.06,397.64,3
3409378,6.58,8.97,3.07,0.79,13.6,291.15,1
3409379,13.97,17.55,5.99,3.3,15.39,363.03,2
3409380,6.25,8.05,2.87,1.1,19.45,290.05,1
3409381,6.41,8.51,2.97,0.95,16.52,290.6,1
3409382,8.25,9.97,2.81,1.17,19.44,287.19,1
3409383,6.58,8.97,3.07,0.79,13.6,291.15,1
3409384,5.04,6.51,1.97,0.42,19.78,243.2,1
3409385,11.46,17.73,13.95,3.34,16.88,281.58,2
3409386,1.23,2.68,6.74,0.9,20.29,141.3,1
3409387,1.37,3.15,2,0.4,27.43,107.21,1
3409388,5.77,9.58,8.59,1.42,14.39,206.34,1
3409389,4.72,8.07,7.76,1.26,15.57,184.31,1
3409390,9.56,11.7,8.37,2.18,24.67,210.39,1
3409391,3.6,5.27,2.3,0.47,13.99,143.83,1
3409392,9.37,13.78,5.24,1.45,35.7,179.92,1
3409393,5.97,9.88,8.17,1.69,17.16,200.08,1
3409394,6.59,8.31,2.19,0.52,21.41,260.72,1
3409395,8.25,9.97,2.81,1.17,19.44,287.19,1
3409396,17.23,18.5,7.81,3.9,23.55,379.22,2
3409397,17.03,18.21,5.62,2.02,23.51,355.75,2
3409398,17.03,18.21,5.62,2.02,23.51,355.75,2
3409399,17.13,18.35,6.72,2.96,23.53,367.49,2
3409400,15.57,22.04,17.83,1.75,11.87,371.08,2
3409401,10.18,26.74,3.49,0.53,49.37,156.24,2
3409402,37.74,46.8,8.24,1.62,61.86,451.15,3
3409403,16.17,42.16,4.51,0.95,66.65,236.06,2
3409404,25.32,43.71,9.84,0.96,51.37,387.65,3
3409405,22.5,26.98,4.92,1.1,55.59,358.19,2
